Obec{nazev='Kravare', psc=8113, pocetZen=10560, pocetMuzu=10786, celkem=21346}
Obec{nazev='Frenstat pod Radhostem', psc=8105, pocetZen=9325, pocetMuzu=9732, celkem=19057}
Obec{nazev='Odry', psc=8116, pocetZen=8648, pocetMuzu=8800, celkem=17448}
Obec{nazev='Nyrany', psc=3208, pocetZen=26166, pocetMuzu=26694, celkem=52860}
Obec{nazev='Vysoke Myto', psc=5314, pocetZen=15852, pocetMuzu=16448, celkem=32300}
Obec{nazev='Horice', psc=5204, pocetZen=8962, pocetMuzu=9200, celkem=18162}
Obec{nazev='Melnik', psc=2114, pocetZen=20617, pocetMuzu=21339, celkem=41956}
Obec{nazev='Brandys nad Labem-Stara Boleslav', psc=2103, pocetZen=42784, pocetMuzu=44584, celkem=87368}
Obec{nazev='Moravsky Krumlov', psc=6212, pocetZen=11023, pocetMuzu=11155, celkem=22178}
Obec{nazev='Liberec', psc=5105, pocetZen=66538, pocetMuzu=70318, celkem=136856}
Obec{nazev='Rymarov', psc=8120, pocetZen=8239, pocetMuzu=8318, celkem=16557}
Obec{nazev='Neratovice', psc=2117, pocetZen=14417, pocetMuzu=14935, celkem=29352}
Obec{nazev='Horovice', psc=2108, pocetZen=13862, pocetMuzu=14185, celkem=28047}
Obec{nazev='Jesenik', psc=7102, pocetZen=20045, pocetMuzu=20452, celkem=40497}
Obec{nazev='Sedlcany', psc=2123, pocetZen=10956, pocetMuzu=11081, celkem=22037}
Obec{nazev='Rumburk', psc=4212, pocetZen=16354, pocetMuzu=16535, celkem=32889}
Obec{nazev='Vizovice', psc=7211, pocetZen=8214, pocetMuzu=8499, celkem=16713}
Obec{nazev='Konice', psc=7103, pocetZen=5495, pocetMuzu=5573, celkem=11068}
Obec{nazev='Hlinsko', psc=5302, pocetZen=10505, pocetMuzu=10765, celkem=21270}
Obec{nazev='Rosice', psc=6214, pocetZen=11916, pocetMuzu=12423, celkem=24339}
Obec{nazev='Vlasim', psc=2125, pocetZen=12646, pocetMuzu=12823, celkem=25469}
Obec{nazev='Jindrichuv Hradec', psc=3105, pocetZen=23205, pocetMuzu=24186, celkem=47391}
Obec{nazev='Zidlochovice', psc=6221, pocetZen=14642, pocetMuzu=15070, celkem=29712}
Obec{nazev='Praha 5', psc=1105, pocetZen=35931, pocetMuzu=39203, celkem=75134}
Obec{nazev='Kyjov', psc=6210, pocetZen=27596, pocetMuzu=28340, celkem=55936}
Obec{nazev='Usti nad Orlici', psc=5313, pocetZen=13022, pocetMuzu=13363, celkem=26385}
Obec{nazev='Vodnany', psc=3117, pocetZen=5576, pocetMuzu=5679, celkem=11255}
Obec{nazev='Pardubice', psc=5309, pocetZen=59348, pocetMuzu=62559, celkem=121907}
Obec{nazev='Praha 22', psc=1122, pocetZen=5815, pocetMuzu=6203, celkem=12018}
Obec{nazev='Ceska Lipa', psc=5101, pocetZen=37607, pocetMuzu=38530, celkem=76137}
Obec{nazev='Kurim', psc=6209, pocetZen=10453, pocetMuzu=10962, celkem=21415}
Obec{nazev='Bruntal', psc=8103, pocetZen=19094, pocetMuzu=19626, celkem=38720}
Obec{nazev='Mlada Boleslav', psc=2115, pocetZen=49015, pocetMuzu=50940, celkem=99955}
Obec{nazev='Velke Mezirici', psc=6114, pocetZen=17688, pocetMuzu=17851, celkem=35539}
Obec{nazev='Kraliky', psc=5305, pocetZen=4384, pocetMuzu=4500, celkem=8884}
Obec{nazev='Praha 10', psc=1110, pocetZen=46255, pocetMuzu=53186, celkem=99441}
Obec{nazev='Frydlant', psc=5102, pocetZen=12246, pocetMuzu=12488, celkem=24734}
Obec{nazev='Sumperk', psc=7111, pocetZen=35152, pocetMuzu=36245, celkem=71397}
Obec{nazev='Horsovsky Tyn', psc=3204, pocetZen=7048, pocetMuzu=6922, celkem=13970}
Obec{nazev='Litomerice', psc=4205, pocetZen=28822, pocetMuzu=29559, celkem=58381}
Obec{nazev='Zatec', psc=4216, pocetZen=13458, pocetMuzu=13829, celkem=27287}
Obec{nazev='Litovel', psc=7105, pocetZen=11795, pocetMuzu=11830, celkem=23625}
Obec{nazev='Novy Bor', psc=5106, pocetZen=13094, pocetMuzu=13349, celkem=26443}
Obec{nazev='Kolin', psc=2110, pocetZen=38171, pocetMuzu=39419, celkem=77590}
Obec{nazev='Pacov', psc=6109, pocetZen=4846, pocetMuzu=4852, celkem=9698}
Obec{nazev='Broumov', psc=5201, pocetZen=8299, pocetMuzu=8447, celkem=16746}
Obec{nazev='Jilemnice', psc=5104, pocetZen=11144, pocetMuzu=11254, celkem=22398}
Obec{nazev='Hlucin', psc=8109, pocetZen=19779, pocetMuzu=20613, celkem=40392}
Obec{nazev='Praha 6', psc=1106, pocetZen=46366, pocetMuzu=52458, celkem=98824}
Obec{nazev='Jicin', psc=5207, pocetZen=22848, pocetMuzu=23421, celkem=46269}
Obec{nazev='Tyn nad Vltavou', psc=3115, pocetZen=6912, pocetMuzu=6971, celkem=13883}
Obec{nazev='Namest nad Oslavou', psc=6107, pocetZen=6668, pocetMuzu=6740, celkem=13408}
Obec{nazev='Breclav', psc=6204, pocetZen=28838, pocetMuzu=30290, celkem=59128}
Obec{nazev='Caslav', psc=2104, pocetZen=12202, pocetMuzu=12588, celkem=24790}
Obec{nazev='Praha 4', psc=1104, pocetZen=58378, pocetMuzu=66065, celkem=124443}
